run_id,dataset,split_id,split_seed,training_seed,model,checkpoint_policy,config_hash,split_hash,output_dir,status,analysis_role
run_0011,sipakmed,split_01,1001,52,resnet50,A,5e203de9913a10ae47f75aab7d778e21e9a142a0699f4a4a6c374b725d67c1ae,b60e4b883ce818e8035c976b18eb7a39bc4697eca98f6b8c885322c1912120da,research-lab/experiments/registered-workflow/runs/primary/run_0011,pending,primary_analysis
run_0012,sipakmed,split_01,1001,52,resnet50,B,5e203de9913a10ae47f75aab7d778e21e9a142a0699f4a4a6c374b725d67c1ae,b60e4b883ce818e8035c976b18eb7a39bc4697eca98f6b8c885322c1912120da,research-lab/experiments/registered-workflow/runs/primary/run_0012,pending,primary_analysis
run_0013,sipakmed,split_01,1001,52,densenet121,A,5e203de9913a10ae47f75aab7d778e21e9a142a0699f4a4a6c374b725d67c1ae,b60e4b883ce818e8035c976b18eb7a39bc4697eca98f6b8c885322c1912120da,research-lab/experiments/registered-workflow/runs/primary/run_0013,pending,primary_analysis
run_0014,sipakmed,split_01,1001,52,densenet121,B,5e203de9913a10ae47f75aab7d778e21e9a142a0699f4a4a6c374b725d67c1ae,b60e4b883ce818e8035c976b18eb7a39bc4697eca98f6b8c885322c1912120da,research-lab/experiments/registered-workflow/runs/primary/run_0014,pending,primary_analysis
run_0015,sipakmed,split_01,1001,52,efficientnet_b0,A,5e203de9913a10ae47f75aab7d778e21e9a142a0699f4a4a6c374b725d67c1ae,b60e4b883ce818e8035c976b18eb7a39bc4697eca98f6b8c885322c1912120da,research-lab/experiments/registered-workflow/runs/primary/run_0015,pending,primary_analysis
run_0016,sipakmed,split_01,1001,52,efficientnet_b0,B,5e203de9913a10ae47f75aab7d778e21e9a142a0699f4a4a6c374b725d67c1ae,b60e4b883ce818e8035c976b18eb7a39bc4697eca98f6b8c885322c1912120da,research-lab/experiments/registered-workflow/runs/primary/run_0016,pending,primary_analysis
run_0017,sipakmed,split_01,1001,62,resnet18,A,5e203de9913a10ae47f75aab7d778e21e9a142a0699f4a4a6c374b725d67c1ae,b60e4b883ce818e8035c976b18eb7a39bc4697eca98f6b8c885322c1912120da,research-lab/experiments/registered-workflow/runs/primary/run_0017,pending,primary_analysis
run_0018,sipakmed,split_01,1001,62,resnet18,B,5e203de9913a10ae47f75aab7d778e21e9a142a0699f4a4a6c374b725d67c1ae,b60e4b883ce818e8035c976b18eb7a39bc4697eca98f6b8c885322c1912120da,research-lab/experiments/registered-workflow/runs/primary/run_0018,pending,primary_analysis
run_0019,sipakmed,split_01,1001,62,resnet50,A,5e203de9913a10ae47f75aab7d778e21e9a142a0699f4a4a6c374b725d67c1ae,b60e4b883ce818e8035c976b18eb7a39bc4697eca98f6b8c885322c1912120da,research-lab/experiments/registered-workflow/runs/primary/run_0019,pending,primary_analysis
run_0020,sipakmed,split_01,1001,62,resnet50,B,5e203de9913a10ae47f75aab7d778e21e9a142a0699f4a4a6c374b725d67c1ae,b60e4b883ce818e8035c976b18eb7a39bc4697eca98f6b8c885322c1912120da,research-lab/experiments/registered-workflow/runs/primary/run_0020,pending,primary_analysis
run_0021,sipakmed,split_01,1001,62,densenet121,A,5e203de9913a10ae47f75aab7d778e21e9a142a0699f4a4a6c374b725d67c1ae,b60e4b883ce818e8035c976b18eb7a39bc4697eca98f6b8c885322c1912120da,research-lab/experiments/registered-workflow/runs/primary/run_0021,pending,primary_analysis
run_0022,sipakmed,split_01,1001,62,densenet121,B,5e203de9913a10ae47f75aab7d778e21e9a142a0699f4a4a6c374b725d67c1ae,b60e4b883ce818e8035c976b18eb7a39bc4697eca98f6b8c885322c1912120da,research-lab/experiments/registered-workflow/runs/primary/run_0022,pending,primary_analysis
run_0023,sipakmed,split_01,1001,62,efficientnet_b0,A,5e203de9913a10ae47f75aab7d778e21e9a142a0699f4a4a6c374b725d67c1ae,b60e4b883ce818e8035c976b18eb7a39bc4697eca98f6b8c885322c1912120da,research-lab/experiments/registered-workflow/runs/primary/run_0023,pending,primary_analysis
run_0024,sipakmed,split_01,1001,62,efficientnet_b0,B,5e203de9913a10ae47f75aab7d778e21e9a142a0699f4a4a6c374b725d67c1ae,b60e4b883ce818e8035c976b18eb7a39bc4697eca98f6b8c885322c1912120da,research-lab/experiments/registered-workflow/runs/primary/run_0024,pending,primary_analysis
run_0025,sipakmed,split_01,1001,72,resnet18,A,5e203de9913a10ae47f75aab7d778e21e9a142a0699f4a4a6c374b725d67c1ae,b60e4b883ce818e8035c976b18eb7a39bc4697eca98f6b8c885322c1912120da,research-lab/experiments/registered-workflow/runs/primary/run_0025,pending,primary_analysis
run_0026,sipakmed,split_01,1001,72,resnet18,B,5e203de9913a10ae47f75aab7d778e21e9a142a0699f4a4a6c374b725d67c1ae,b60e4b883ce818e8035c976b18eb7a39bc4697eca98f6b8c885322c1912120da,research-lab/experiments/registered-workflow/runs/primary/run_0026,pending,primary_analysis
run_0027,sipakmed,split_01,1001,72,resnet50,A,5e203de9913a10ae47f75aab7d778e21e9a142a0699f4a4a6c374b725d67c1ae,b60e4b883ce818e8035c976b18eb7a39bc4697eca98f6b8c885322c1912120da,research-lab/experiments/registered-workflow/runs/primary/run_0027,pending,primary_analysis
run_0028,sipakmed,split_01,1001,72,resnet50,B,5e203de9913a10ae47f75aab7d778e21e9a142a0699f4a4a6c374b725d67c1ae,b60e4b883ce818e8035c976b18eb7a39bc4697eca98f6b8c885322c1912120da,research-lab/experiments/registered-workflow/runs/primary/run_0028,pending,primary_analysis
run_0029,sipakmed,split_01,1001,72,densenet121,A,5e203de9913a10ae47f75aab7d778e21e9a142a0699f4a4a6c374b725d67c1ae,b60e4b883ce818e8035c976b18eb7a39bc4697eca98f6b8c885322c1912120da,research-lab/experiments/registered-workflow/runs/primary/run_0029,pending,primary_analysis
run_0030,sipakmed,split_01,1001,72,densenet121,B,5e203de9913a10ae47f75aab7d778e21e9a142a0699f4a4a6c374b725d67c1ae,b60e4b883ce818e8035c976b18eb7a39bc4697eca98f6b8c885322c1912120da,research-lab/experiments/registered-workflow/runs/primary/run_0030,pending,primary_analysis
run_0031,sipakmed,split_01,1001,72,efficientnet_b0,A,5e203de9913a10ae47f75aab7d778e21e9a142a0699f4a4a6c374b725d67c1ae,b60e4b883ce818e8035c976b18eb7a39bc4697eca98f6b8c885322c1912120da,research-lab/experiments/registered-workflow/runs/primary/run_0031,pending,primary_analysis
run_0032,sipakmed,split_01,1001,72,efficientnet_b0,B,5e203de9913a10ae47f75aab7d778e21e9a142a0699f4a4a6c374b725d67c1ae,b60e4b883ce818e8035c976b18eb7a39bc4697eca98f6b8c885322c1912120da,research-lab/experiments/registered-workflow/runs/primary/run_0032,pending,primary_analysis
run_0033,sipakmed,split_01,1001,82,resnet18,A,5e203de9913a10ae47f75aab7d778e21e9a142a0699f4a4a6c374b725d67c1ae,b60e4b883ce818e8035c976b18eb7a39bc4697eca98f6b8c885322c1912120da,research-lab/experiments/registered-workflow/runs/primary/run_0033,pending,primary_analysis
run_0034,sipakmed,split_01,1001,82,resnet18,B,5e203de9913a10ae47f75aab7d778e21e9a142a0699f4a4a6c374b725d67c1ae,b60e4b883ce818e8035c976b18eb7a39bc4697eca98f6b8c885322c1912120da,research-lab/experiments/registered-workflow/runs/primary/run_0034,pending,primary_analysis
run_0035,sipakmed,split_01,1001,82,resnet50,A,5e203de9913a10ae47f75aab7d778e21e9a142a0699f4a4a6c374b725d67c1ae,b60e4b883ce818e8035c976b18eb7a39bc4697eca98f6b8c885322c1912120da,research-lab/experiments/registered-workflow/runs/primary/run_0035,pending,primary_analysis
run_0036,sipakmed,split_01,1001,82,resnet50,B,5e203de9913a10ae47f75aab7d778e21e9a142a0699f4a4a6c374b725d67c1ae,b60e4b883ce818e8035c976b18eb7a39bc4697eca98f6b8c885322c1912120da,research-lab/experiments/registered-workflow/runs/primary/run_0036,pending,primary_analysis
run_0037,sipakmed,split_01,1001,82,densenet121,A,5e203de9913a10ae47f75aab7d778e21e9a142a0699f4a4a6c374b725d67c1ae,b60e4b883ce818e8035c976b18eb7a39bc4697eca98f6b8c885322c1912120da,research-lab/experiments/registered-workflow/runs/primary/run_0037,pending,primary_analysis
run_0038,sipakmed,split_01,1001,82,densenet121,B,5e203de9913a10ae47f75aab7d778e21e9a142a0699f4a4a6c374b725d67c1ae,b60e4b883ce818e8035c976b18eb7a39bc4697eca98f6b8c885322c1912120da,research-lab/experiments/registered-workflow/runs/primary/run_0038,pending,primary_analysis
run_0039,sipakmed,split_01,1001,82,efficientnet_b0,A,5e203de9913a10ae47f75aab7d778e21e9a142a0699f4a4a6c374b725d67c1ae,b60e4b883ce818e8035c976b18eb7a39bc4697eca98f6b8c885322c1912120da,research-lab/experiments/registered-workflow/runs/primary/run_0039,pending,primary_analysis
run_0040,sipakmed,split_01,1001,82,efficientnet_b0,B,5e203de9913a10ae47f75aab7d778e21e9a142a0699f4a4a6c374b725d67c1ae,b60e4b883ce818e8035c976b18eb7a39bc4697eca98f6b8c885322c1912120da,research-lab/experiments/registered-workflow/runs/primary/run_0040,pending,primary_analysis
run_0041,sipakmed,split_02,1002,42,resnet18,A,5e203de9913a10ae47f75aab7d778e21e9a142a0699f4a4a6c374b725d67c1ae,c7cdebd9ca3573584f75bb37e740e028efa50549eca00308df18d1cf3d9b446b,research-lab/experiments/registered-workflow/runs/primary/run_0041,pending,primary_analysis
run_0042,sipakmed,split_02,1002,42,resnet18,B,5e203de9913a10ae47f75aab7d778e21e9a142a0699f4a4a6c374b725d67c1ae,c7cdebd9ca3573584f75bb37e740e028efa50549eca00308df18d1cf3d9b446b,research-lab/experiments/registered-workflow/runs/primary/run_0042,pending,primary_analysis
run_0043,sipakmed,split_02,1002,42,resnet50,A,5e203de9913a10ae47f75aab7d778e21e9a142a0699f4a4a6c374b725d67c1ae,c7cdebd9ca3573584f75bb37e740e028efa50549eca00308df18d1cf3d9b446b,research-lab/experiments/registered-workflow/runs/primary/run_0043,pending,primary_analysis
run_0044,sipakmed,split_02,1002,42,resnet50,B,5e203de9913a10ae47f75aab7d778e21e9a142a0699f4a4a6c374b725d67c1ae,c7cdebd9ca3573584f75bb37e740e028efa50549eca00308df18d1cf3d9b446b,research-lab/experiments/registered-workflow/runs/primary/run_0044,pending,primary_analysis
run_0045,sipakmed,split_02,1002,42,densenet121,A,5e203de9913a10ae47f75aab7d778e21e9a142a0699f4a4a6c374b725d67c1ae,c7cdebd9ca3573584f75bb37e740e028efa50549eca00308df18d1cf3d9b446b,research-lab/experiments/registered-workflow/runs/primary/run_0045,pending,primary_analysis
run_0046,sipakmed,split_02,1002,42,densenet121,B,5e203de9913a10ae47f75aab7d778e21e9a142a0699f4a4a6c374b725d67c1ae,c7cdebd9ca3573584f75bb37e740e028efa50549eca00308df18d1cf3d9b446b,research-lab/experiments/registered-workflow/runs/primary/run_0046,pending,primary_analysis
run_0047,sipakmed,split_02,1002,42,efficientnet_b0,A,5e203de9913a10ae47f75aab7d778e21e9a142a0699f4a4a6c374b725d67c1ae,c7cdebd9ca3573584f75bb37e740e028efa50549eca00308df18d1cf3d9b446b,research-lab/experiments/registered-workflow/runs/primary/run_0047,pending,primary_analysis
run_0048,sipakmed,split_02,1002,42,efficientnet_b0,B,5e203de9913a10ae47f75aab7d778e21e9a142a0699f4a4a6c374b725d67c1ae,c7cdebd9ca3573584f75bb37e740e028efa50549eca00308df18d1cf3d9b446b,research-lab/experiments/registered-workflow/runs/primary/run_0048,pending,primary_analysis
run_0049,sipakmed,split_02,1002,52,resnet18,A,5e203de9913a10ae47f75aab7d778e21e9a142a0699f4a4a6c374b725d67c1ae,c7cdebd9ca3573584f75bb37e740e028efa50549eca00308df18d1cf3d9b446b,research-lab/experiments/registered-workflow/runs/primary/run_0049,pending,primary_analysis
run_0050,sipakmed,split_02,1002,52,resnet18,B,5e203de9913a10ae47f75aab7d778e21e9a142a0699f4a4a6c374b725d67c1ae,c7cdebd9ca3573584f75bb37e740e028efa50549eca00308df18d1cf3d9b446b,research-lab/experiments/registered-workflow/runs/primary/run_0050,pending,primary_analysis
run_0051,sipakmed,split_02,1002,52,resnet50,A,5e203de9913a10ae47f75aab7d778e21e9a142a0699f4a4a6c374b725d67c1ae,c7cdebd9ca3573584f75bb37e740e028efa50549eca00308df18d1cf3d9b446b,research-lab/experiments/registered-workflow/runs/primary/run_0051,pending,primary_analysis
run_0052,sipakmed,split_02,1002,52,resnet50,B,5e203de9913a10ae47f75aab7d778e21e9a142a0699f4a4a6c374b725d67c1ae,c7cdebd9ca3573584f75bb37e740e028efa50549eca00308df18d1cf3d9b446b,research-lab/experiments/registered-workflow/runs/primary/run_0052,pending,primary_analysis
run_0053,sipakmed,split_02,1002,52,densenet121,A,5e203de9913a10ae47f75aab7d778e21e9a142a0699f4a4a6c374b725d67c1ae,c7cdebd9ca3573584f75bb37e740e028efa50549eca00308df18d1cf3d9b446b,research-lab/experiments/registered-workflow/runs/primary/run_0053,pending,primary_analysis
run_0054,sipakmed,split_02,1002,52,densenet121,B,5e203de9913a10ae47f75aab7d778e21e9a142a0699f4a4a6c374b725d67c1ae,c7cdebd9ca3573584f75bb37e740e028efa50549eca00308df18d1cf3d9b446b,research-lab/experiments/registered-workflow/runs/primary/run_0054,pending,primary_analysis
run_0055,sipakmed,split_02,1002,52,efficientnet_b0,A,5e203de9913a10ae47f75aab7d778e21e9a142a0699f4a4a6c374b725d67c1ae,c7cdebd9ca3573584f75bb37e740e028efa50549eca00308df18d1cf3d9b446b,research-lab/experiments/registered-workflow/runs/primary/run_0055,pending,primary_analysis
run_0056,sipakmed,split_02,1002,52,efficientnet_b0,B,5e203de9913a10ae47f75aab7d778e21e9a142a0699f4a4a6c374b725d67c1ae,c7cdebd9ca3573584f75bb37e740e028efa50549eca00308df18d1cf3d9b446b,research-lab/experiments/registered-workflow/runs/primary/run_0056,pending,primary_analysis
run_0057,sipakmed,split_02,1002,62,resnet18,A,5e203de9913a10ae47f75aab7d778e21e9a142a0699f4a4a6c374b725d67c1ae,c7cdebd9ca3573584f75bb37e740e028efa50549eca00308df18d1cf3d9b446b,research-lab/experiments/registered-workflow/runs/primary/run_0057,pending,primary_analysis
run_0058,sipakmed,split_02,1002,62,resnet18,B,5e203de9913a10ae47f75aab7d778e21e9a142a0699f4a4a6c374b725d67c1ae,c7cdebd9ca3573584f75bb37e740e028efa50549eca00308df18d1cf3d9b446b,research-lab/experiments/registered-workflow/runs/primary/run_0058,pending,primary_analysis
run_0059,sipakmed,split_02,1002,62,resnet50,A,5e203de9913a10ae47f75aab7d778e21e9a142a0699f4a4a6c374b725d67c1ae,c7cdebd9ca3573584f75bb37e740e028efa50549eca00308df18d1cf3d9b446b,research-lab/experiments/registered-workflow/runs/primary/run_0059,pending,primary_analysis
run_0060,sipakmed,split_02,1002,62,resnet50,B,5e203de9913a10ae47f75aab7d778e21e9a142a0699f4a4a6c374b725d67c1ae,c7cdebd9ca3573584f75bb37e740e028efa50549eca00308df18d1cf3d9b446b,research-lab/experiments/registered-workflow/runs/primary/run_0060,pending,primary_analysis
run_0061,sipakmed,split_02,1002,62,densenet121,A,5e203de9913a10ae47f75aab7d778e21e9a142a0699f4a4a6c374b725d67c1ae,c7cdebd9ca3573584f75bb37e740e028efa50549eca00308df18d1cf3d9b446b,research-lab/experiments/registered-workflow/runs/primary/run_0061,pending,primary_analysis
run_0062,sipakmed,split_02,1002,62,densenet121,B,5e203de9913a10ae47f75aab7d778e21e9a142a0699f4a4a6c374b725d67c1ae,c7cdebd9ca3573584f75bb37e740e028efa50549eca00308df18d1cf3d9b446b,research-lab/experiments/registered-workflow/runs/primary/run_0062,pending,primary_analysis
run_0063,sipakmed,split_02,1002,62,efficientnet_b0,A,5e203de9913a10ae47f75aab7d778e21e9a142a0699f4a4a6c374b725d67c1ae,c7cdebd9ca3573584f75bb37e740e028efa50549eca00308df18d1cf3d9b446b,research-lab/experiments/registered-workflow/runs/primary/run_0063,pending,primary_analysis
run_0064,sipakmed,split_02,1002,62,efficientnet_b0,B,5e203de9913a10ae47f75aab7d778e21e9a142a0699f4a4a6c374b725d67c1ae,c7cdebd9ca3573584f75bb37e740e028efa50549eca00308df18d1cf3d9b446b,research-lab/experiments/registered-workflow/runs/primary/run_0064,pending,primary_analysis
run_0065,sipakmed,split_02,1002,72,resnet18,A,5e203de9913a10ae47f75aab7d778e21e9a142a0699f4a4a6c374b725d67c1ae,c7cdebd9ca3573584f75bb37e740e028efa50549eca00308df18d1cf3d9b446b,research-lab/experiments/registered-workflow/runs/primary/run_0065,pending,primary_analysis
run_0066,sipakmed,split_02,1002,72,resnet18,B,5e203de9913a10ae47f75aab7d778e21e9a142a0699f4a4a6c374b725d67c1ae,c7cdebd9ca3573584f75bb37e740e028efa50549eca00308df18d1cf3d9b446b,research-lab/experiments/registered-workflow/runs/primary/run_0066,pending,primary_analysis
run_0067,sipakmed,split_02,1002,72,resnet50,A,5e203de9913a10ae47f75aab7d778e21e9a142a0699f4a4a6c374b725d67c1ae,c7cdebd9ca3573584f75bb37e740e028efa50549eca00308df18d1cf3d9b446b,research-lab/experiments/registered-workflow/runs/primary/run_0067,pending,primary_analysis
run_0068,sipakmed,split_02,1002,72,resnet50,B,5e203de9913a10ae47f75aab7d778e21e9a142a0699f4a4a6c374b725d67c1ae,c7cdebd9ca3573584f75bb37e740e028efa50549eca00308df18d1cf3d9b446b,research-lab/experiments/registered-workflow/runs/primary/run_0068,pending,primary_analysis
run_0069,sipakmed,split_02,1002,72,densenet121,A,5e203de9913a10ae47f75aab7d778e21e9a142a0699f4a4a6c374b725d67c1ae,c7cdebd9ca3573584f75bb37e740e028efa50549eca00308df18d1cf3d9b446b,research-lab/experiments/registered-workflow/runs/primary/run_0069,pending,primary_analysis
run_0070,sipakmed,split_02,1002,72,densenet121,B,5e203de9913a10ae47f75aab7d778e21e9a142a0699f4a4a6c374b725d67c1ae,c7cdebd9ca3573584f75bb37e740e028efa50549eca00308df18d1cf3d9b446b,research-lab/experiments/registered-workflow/runs/primary/run_0070,pending,primary_analysis
run_0071,sipakmed,split_02,1002,72,efficientnet_b0,A,5e203de9913a10ae47f75aab7d778e21e9a142a0699f4a4a6c374b725d67c1ae,c7cdebd9ca3573584f75bb37e740e028efa50549eca00308df18d1cf3d9b446b,research-lab/experiments/registered-workflow/runs/primary/run_0071,pending,primary_analysis
run_0072,sipakmed,split_02,1002,72,efficientnet_b0,B,5e203de9913a10ae47f75aab7d778e21e9a142a0699f4a4a6c374b725d67c1ae,c7cdebd9ca3573584f75bb37e740e028efa50549eca00308df18d1cf3d9b446b,research-lab/experiments/registered-workflow/runs/primary/run_0072,pending,primary_analysis
run_0073,sipakmed,split_02,1002,82,resnet18,A,5e203de9913a10ae47f75aab7d778e21e9a142a0699f4a4a6c374b725d67c1ae,c7cdebd9ca3573584f75bb37e740e028efa50549eca00308df18d1cf3d9b446b,research-lab/experiments/registered-workflow/runs/primary/run_0073,pending,primary_analysis
run_0074,sipakmed,split_02,1002,82,resnet18,B,5e203de9913a10ae47f75aab7d778e21e9a142a0699f4a4a6c374b725d67c1ae,c7cdebd9ca3573584f75bb37e740e028efa50549eca00308df18d1cf3d9b446b,research-lab/experiments/registered-workflow/runs/primary/run_0074,pending,primary_analysis
run_0075,sipakmed,split_02,1002,82,resnet50,A,5e203de9913a10ae47f75aab7d778e21e9a142a0699f4a4a6c374b725d67c1ae,c7cdebd9ca3573584f75bb37e740e028efa50549eca00308df18d1cf3d9b446b,research-lab/experiments/registered-workflow/runs/primary/run_0075,pending,primary_analysis
run_0076,sipakmed,split_02,1002,82,resnet50,B,5e203de9913a10ae47f75aab7d778e21e9a142a0699f4a4a6c374b725d67c1ae,c7cdebd9ca3573584f75bb37e740e028efa50549eca00308df18d1cf3d9b446b,research-lab/experiments/registered-workflow/runs/primary/run_0076,pending,primary_analysis
run_0077,sipakmed,split_02,1002,82,densenet121,A,5e203de9913a10ae47f75aab7d778e21e9a142a0699f4a4a6c374b725d67c1ae,c7cdebd9ca3573584f75bb37e740e028efa50549eca00308df18d1cf3d9b446b,research-lab/experiments/registered-workflow/runs/primary/run_0077,pending,primary_analysis
run_0078,sipakmed,split_02,1002,82,densenet121,B,5e203de9913a10ae47f75aab7d778e21e9a142a0699f4a4a6c374b725d67c1ae,c7cdebd9ca3573584f75bb37e740e028efa50549eca00308df18d1cf3d9b446b,research-lab/experiments/registered-workflow/runs/primary/run_0078,pending,primary_analysis
run_0079,sipakmed,split_02,1002,82,efficientnet_b0,A,5e203de9913a10ae47f75aab7d778e21e9a142a0699f4a4a6c374b725d67c1ae,c7cdebd9ca3573584f75bb37e740e028efa50549eca00308df18d1cf3d9b446b,research-lab/experiments/registered-workflow/runs/primary/run_0079,pending,primary_analysis
run_0080,sipakmed,split_02,1002,82,efficientnet_b0,B,5e203de9913a10ae47f75aab7d778e21e9a142a0699f4a4a6c374b725d67c1ae,c7cdebd9ca3573584f75bb37e740e028efa50549eca00308df18d1cf3d9b446b,research-lab/experiments/registered-workflow/runs/primary/run_0080,pending,primary_analysis
run_0081,sipakmed,split_03,1003,42,resnet18,A,5e203de9913a10ae47f75aab7d778e21e9a142a0699f4a4a6c374b725d67c1ae,124d25065c446a92c033e4eeeb92bf02c1d9e0e56c8069be874a27fb64da085b,research-lab/experiments/registered-workflow/runs/primary/run_0081,pending,primary_analysis
run_0082,sipakmed,split_03,1003,42,resnet18,B,5e203de9913a10ae47f75aab7d778e21e9a142a0699f4a4a6c374b725d67c1ae,124d25065c446a92c033e4eeeb92bf02c1d9e0e56c8069be874a27fb64da085b,research-lab/experiments/registered-workflow/runs/primary/run_0082,pending,primary_analysis
run_0083,sipakmed,split_03,1003,42,resnet50,A,5e203de9913a10ae47f75aab7d778e21e9a142a0699f4a4a6c374b725d67c1ae,124d25065c446a92c033e4eeeb92bf02c1d9e0e56c8069be874a27fb64da085b,research-lab/experiments/registered-workflow/runs/primary/run_0083,pending,primary_analysis
run_0084,sipakmed,split_03,1003,42,resnet50,B,5e203de9913a10ae47f75aab7d778e21e9a142a0699f4a4a6c374b725d67c1ae,124d25065c446a92c033e4eeeb92bf02c1d9e0e56c8069be874a27fb64da085b,research-lab/experiments/registered-workflow/runs/primary/run_0084,pending,primary_analysis
run_0085,sipakmed,split_03,1003,42,densenet121,A,5e203de9913a10ae47f75aab7d778e21e9a142a0699f4a4a6c374b725d67c1ae,124d25065c446a92c033e4eeeb92bf02c1d9e0e56c8069be874a27fb64da085b,research-lab/experiments/registered-workflow/runs/primary/run_0085,pending,primary_analysis
run_0086,sipakmed,split_03,1003,42,densenet121,B,5e203de9913a10ae47f75aab7d778e21e9a142a0699f4a4a6c374b725d67c1ae,124d25065c446a92c033e4eeeb92bf02c1d9e0e56c8069be874a27fb64da085b,research-lab/experiments/registered-workflow/runs/primary/run_0086,pending,primary_analysis
run_0087,sipakmed,split_03,1003,42,efficientnet_b0,A,5e203de9913a10ae47f75aab7d778e21e9a142a0699f4a4a6c374b725d67c1ae,124d25065c446a92c033e4eeeb92bf02c1d9e0e56c8069be874a27fb64da085b,research-lab/experiments/registered-workflow/runs/primary/run_0087,pending,primary_analysis
run_0088,sipakmed,split_03,1003,42,efficientnet_b0,B,5e203de9913a10ae47f75aab7d778e21e9a142a0699f4a4a6c374b725d67c1ae,124d25065c446a92c033e4eeeb92bf02c1d9e0e56c8069be874a27fb64da085b,research-lab/experiments/registered-workflow/runs/primary/run_0088,pending,primary_analysis
run_0089,sipakmed,split_03,1003,52,resnet18,A,5e203de9913a10ae47f75aab7d778e21e9a142a0699f4a4a6c374b725d67c1ae,124d25065c446a92c033e4eeeb92bf02c1d9e0e56c8069be874a27fb64da085b,research-lab/experiments/registered-workflow/runs/primary/run_0089,pending,primary_analysis
run_0090,sipakmed,split_03,1003,52,resnet18,B,5e203de9913a10ae47f75aab7d778e21e9a142a0699f4a4a6c374b725d67c1ae,124d25065c446a92c033e4eeeb92bf02c1d9e0e56c8069be874a27fb64da085b,research-lab/experiments/registered-workflow/runs/primary/run_0090,pending,primary_analysis
run_0091,sipakmed,split_03,1003,52,resnet50,A,5e203de9913a10ae47f75aab7d778e21e9a142a0699f4a4a6c374b725d67c1ae,124d25065c446a92c033e4eeeb92bf02c1d9e0e56c8069be874a27fb64da085b,research-lab/experiments/registered-workflow/runs/primary/run_0091,pending,primary_analysis
run_0092,sipakmed,split_03,1003,52,resnet50,B,5e203de9913a10ae47f75aab7d778e21e9a142a0699f4a4a6c374b725d67c1ae,124d25065c446a92c033e4eeeb92bf02c1d9e0e56c8069be874a27fb64da085b,research-lab/experiments/registered-workflow/runs/primary/run_0092,pending,primary_analysis
